Mint                                         Time to Peak
3HGkftwTwfY71A1sTf8ezt7D5gd9jbZjHRRB91wdpump  1.251426
8eZTr1JJR2g1S9qD2RjZgxL5k8j7mgyHWcHnRhZCpump  1.355123
DY2yjJLRfaUWF9LsXTKggJ75ABiPNKzmLF5fv4dnpump  1.466693
6UedryYxkdTpXUpYvBJpkv3ERhVmieJytJRLqzuRpump  1.650027
54yrSEs79WokdfwpoGszLnKpV5qYc5BLx3zKSbP6pump  1.677858
ELNPsNDGA6yV61Bh5XVV1Xpv38oRnf1UqGbuMUjVpump  1.766703
8kYnHFXCggFLHVB5oMYdyaQnj1XCvkAcAFHUbZdkpump  1.821252
25mgZ1U4bdCai5Tt4Kf4BY7tgn5Qkw9o8gPWm44qpump  1.966941
DYi5hTL6W7jjDti47wqRbVj8ERJWtP58HnPAmmoMpump  1.978978
F2mYaTZXfUX69fQbNUCrDAfCfVzm7vw8tCCrB6Urpump  2.200261
DFdFaSwGZg4Ki4aH2mLReGms9Ws1BNmNeHzgxSgypump  2.554971
3juK7U9qdfKX1j3HQnFSiYSkx7MqosZBcxPK9kxJpump  2.858248
4KxkqvcJitpCqGhdxsLHx1mBBBGcgNtQsNGkHBnQpump  2.989781
5jcUBnhzXAGVG2VZa2Wyxy4Qk3VWGUt7jzcK7XMvpump  3.218259
HgzPFcAhCGDgU1tSrRSwHsi62Dtn1yrkkiwLQSM2pump  3.280067
J2B9Py9TkqejJzZNa6zcRGudmDwcvymh7JBSfRZgpump  3.477793
CDT89MJDeAnBuzAQYRHaaXVEq5hMMgcc8ZMTTXchpump  3.512193
HGvUTJcmdoWMnWpSB44he3uXdc6F4taQjJQNigqBpump  3.668434
GuGDqktkC8nYxbqrrvQqL63PF1ysyuLhXVfXJuuKpump  3.753322
3ZMjB2tm9k6zJSp6GvCcDducRSKwqQLYU21GPAEUEmDE  3.759084
9ygNdTYmRADmcRecNooGLZypFwFfWe8EeYHvdHPMpump  3.845262
CH7Egj2dEVDVD2hBpdTkYjJPsxaFfiJmKePgLsK2pump  4.020638
GjxkBJ6Cmygdg2mEFG8s1GxZvSmDVoGLpiNueh4jpump  4.141987
EdSCBZHfpUrqUA8FM7R85KjLg2dxfyBSMqZ51nnzpump  4.495916
Co6bJ5oQh99i815dXcpsp8n7bUD9Z1HmrzocpJa2pump  4.703055
5MRLoo4XV2onr7sLgQNAt4d3db8W9fbGjR7b4iGNpump  4.817049
8U7Y8tvi4MKCX8dQsRz4uaWj7tnwvhfNGwPs2Adapump  4.86908
CRCiaPYK7ZxMpdm5EnAJ6qMZ7FwPRDU5vwr6FmWE8kvQ  4.87723
7wXP2msTMQDaXPzCrfpcxXjcLfJqY8gjLLG6Th9fpump  4.970171
Amc8LJ4nV8YEGaeq46xG2qZ53oVSBAcsxRWNLJTMpump  5.009484
GhnmAFbZoDFeSgTokpspQ2hBxp6PhHmsaG8QAYGypump  5.127951
8UJVmkhfpfjQeGv8LMJo14QLxxwzMBQp73L6QN3dpump  5.349443
ET1mh6dk2kfSsiMFqZKKNKsd6KrE2zumVP5JUkHWpump  5.618687
3BvUagJ2CSUMoUstDNnR6ahrGdW4qpJANenNxuzcpump  5.882346
9zpjadPysbGa2MWewDtyhzRZZdYg6AudrD6yeffqpump  6.376979
5CVpohKefcxNtWoqr5ooCrUWBvASDf8NvEr1B1H6sAKY  6.80165
6uJmwaK5niqTNPUhE2bVXV1ePYM5rR4L1sb43t7bpump  6.908848
A3M8hxDNRS2tEDwKP4eYWo1V3i687AAu74TbViDDpump  7.399705
8E9mvL2RrQUiXDBhipCvVP6pDiNuCMhMRNX5EUBWpump  7.633484
28F3r2Tj65UtweN63JmNZezW13Wmmu1Yw48HBoMWpump  7.665803
5bQ17uxwFzcBawnVam65W9NAtNpU5icMkAw4ERuVpump  7.790283
6c4yTak7e8NNtb2E1c3YTiGW6AWMk24vrh7EtjMXpump  7.978641
6cGHnkDcJQfsnSY2oT8Lv5s4aW6ktkfxC5U39Devpump  8.258306
FyGRce5X7vMVBko9P8r2WT794AKvS7BSAtRhVZz7pump  8.49882
